detection_id,timestamp,camera_id,frame_id,vehicle_class,confidence_score,bbox_area_pixels,lane_id,estimated_speed_kmh,is_emergency_vehicle
1001,2026-08-06 18:55:03,CAM_JUNCTION_01,1,Motorcycle,0.889,1617,Northbound_Lane1,50.4,0
1002,2026-08-06 18:55:03,CAM_JUNCTION_01,1,Car,0.789,8715,Westbound_Lane1,41.6,0
1003,2026-08-06 18:55:03,CAM_JUNCTION_01,1,Car,0.892,13374,Westbound_Lane1,3.2,0
1004,2026-08-06 18:55:04,CAM_JUNCTION_01,2,Car,0.808,15064,Northbound_Lane2,2.8,0
1005,2026-08-06 18:55:04,CAM_JUNCTION_01,2,Car,0.896,3064,Eastbound_Lane1,48.0,0
1006,2026-08-06 18:55:04,CAM_JUNCTION_01,2,Motorcycle,0.789,16833,Northbound_Lane2,20.5,0
1007,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Car,0.811,10138,Southbound_Lane1,1.4,0
1008,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Car,0.92,14389,Westbound_Lane1,47.5,0
1009,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Car,0.881,13601,Eastbound_Lane1,13.3,0
1010,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Car,0.967,4532,Eastbound_Lane1,50.8,0
1011,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Motorcycle,0.905,9880,Westbound_Lane1,29.8,0
1012,2026-08-06 18:55:04,CAM_JUNCTION_01,3,Rickshaw,0.928,10733,Westbound_Lane1,26.3,0
1013,2026-08-06 18:55:05,CAM_JUNCTION_01,4,Car,0.862,17692,Westbound_Lane1,54.6,0
1014,2026-08-06 18:55:05,CAM_JUNCTION_01,4,Car,0.872,16784,Westbound_Lane1,31.8,0
1015,2026-08-06 18:55:05,CAM_JUNCTION_01,4,Car,0.883,8488,Eastbound_Lane1,53.3,0
1016,2026-08-06 18:55:05,CAM_JUNCTION_01,4,Truck,0.822,11418,Southbound_Lane1,1.8,0
1017,2026-08-06 18:55:05,CAM_JUNCTION_01,4,Car,0.96,11686,Northbound_Lane2,48.5,0
1018,2026-08-06 18:55:05,CAM_JUNCTION_01,5,Car,0.937,11558,Southbound_Lane1,20.3,0
1019,2026-08-06 18:55:05,CAM_JUNCTION_01,5,Car,0.82,8785,Northbound_Lane2,8.4,0
1020,2026-08-06 18:55:05,CAM_JUNCTION_01,5,Bus,0.83,11163,Southbound_Lane1,32.9,0
1021,2026-08-06 18:55:05,CAM_JUNCTION_01,5,Truck,0.971,16803,Eastbound_Lane1,48.5,0
1022,2026-08-06 18:55:05,CAM_JUNCTION_01,5,Car,0.876,2126,Northbound_Lane1,42.3,0
1023,2026-08-06 18:55:06,CAM_JUNCTION_01,6,Rickshaw,0.812,1362,Northbound_Lane1,32.2,0
1024,2026-08-06 18:55:06,CAM_JUNCTION_01,6,Car,0.955,9118,Eastbound_Lane1,4.5,0
1025,2026-08-06 18:55:06,CAM_JUNCTION_01,6,Car,0.803,14531,Northbound_Lane2,52.7,0
1026,2026-08-06 18:55:06,CAM_JUNCTION_01,6,Car,0.804,9687,Eastbound_Lane1,48.8,0
1027,2026-08-06 18:55:06,CAM_JUNCTION_01,7,Car,0.945,2734,Eastbound_Lane1,21.9,0
1028,2026-08-06 18:55:06,CAM_JUNCTION_01,7,Car,0.973,13511,Southbound_Lane1,20.3,0
1029,2026-08-06 18:55:06,CAM_JUNCTION_01,7,Car,0.861,4085,Westbound_Lane1,15.1,0
1030,2026-08-06 18:55:07,CAM_JUNCTION_01,8,Car,0.784,11097,Southbound_Lane1,22.3,0
1031,2026-08-06 18:55:07,CAM_JUNCTION_01,8,Car,0.97,14736,Westbound_Lane1,3.8,0
1032,2026-08-06 18:55:07,CAM_JUNCTION_01,8,Car,0.935,17004,Southbound_Lane1,14.3,0
1033,2026-08-06 18:55:07,CAM_JUNCTION_01,9,Car,0.973,11336,Eastbound_Lane1,34.5,0
1034,2026-08-06 18:55:07,CAM_JUNCTION_01,9,Car,0.787,5915,Southbound_Lane1,52.6,0
1035,2026-08-06 18:55:07,CAM_JUNCTION_01,9,Car,0.825,6664,Southbound_Lane1,24.0,0
1036,2026-08-06 18:55:07,CAM_JUNCTION_01,9,Car,0.956,9497,Northbound_Lane2,15.2,0
1037,2026-08-06 18:55:07,CAM_JUNCTION_01,9,Car,0.876,10459,Northbound_Lane2,0.2,0
1038,2026-08-06 18:55:08,CAM_JUNCTION_01,10,Car,0.784,11067,Eastbound_Lane1,11.8,0
1039,2026-08-06 18:55:08,CAM_JUNCTION_01,10,Car,0.885,14514,Eastbound_Lane1,23.9,0
1040,2026-08-06 18:55:08,CAM_JUNCTION_01,10,Car,0.873,10501,Northbound_Lane1,24.1,0
1041,2026-08-06 18:55:08,CAM_JUNCTION_01,10,Car,0.877,5170,Westbound_Lane1,28.9,0
